name;instagram;Bundesland;Verband;Datum;Ort;Geschlecht;Alter;Squat;Bench;deadlift
Jannik Kehrein;None;None;BVDK;30.10.2021;None;M;18;250;150;265
Lasse Wieben;None;NI;BVDK;16.11.2019;None;M;24~;250;200;275
Jochen Wischnewski;None;None;BVDK;29.03.2019;Deutschland;M;28;265;175;245
Thomas Maik Schöneck;None;None;BVDK;21.08.2022;None;M;;250;217,5;290
Jan-Philipp Mankel;None;None;BVDK;29.03.2019;Deutschland;M;28;250;200;285
Anton Scherz;None;None;WUAP;05.10.2016;Deutschland;M;24~;260;160;290
Bernd Backhaus;None;None;WUAP;13.06.2017;Deutschland;M;52;280;155;275
Steven Vierig;None;SN;BVDK;10.10.2020;Deutschland;M;35;262,5;152,5;285
Benedikt Nicolai;None;BW;BVDK;18.12.2021;None;M;20~;220;125;235
Simon Suchan;None;None;BVDK;19.09.2021;None;M;20~;295,5;180;260
Patrick Poetsch;None;NRW;Germany-UA;09.11.2018;None;M;28~;275;170;290
Fabian Meyer;None;NRW;BVDK;05.05.2018;Deutschland;M;21;260;170;290
Andreas Schmid;None;BY;BVDK;06.10.2018;None;M;26~;240;157,5;265
Patrick Schlüter;None;MV;BVDK;21.09.2018;None;M;40;216;147,5;215
Malte Tilman Schäpermeier;None;NRW;BVDK;26.09.2020;None;M;19~;265;165;270
Maxim Weigen;None;None;BVDK;19.09.2021;Deutschland;M;20~;240;130;255
Viktor Koza;None;None;BVDK;21.08.2022;None;M;;260;150;290
Marcel Schaar;None;NRW;Germany-UA;09.11.2018;Deutschland;M;23;235;155;260
Anna Wesse;None;None;BVDK;19.09.2021;None;W;22~;160;85;190
Arbijos Thaqi;None;BY;BVDK;14.12.2019;None;M;19~;212,5;155;255
Robert Röder;None;None;BVDK;19.09.2021;Deutschland;M;22;240;142,5;277,5
Matthias Große;None;None;UPC-Germany;27.03.2015;Deutschland;M;36;265;177,5;280
Adrian Kolodziej;None;None;BVDK;10.04.2022;Deutschland;M;24~;225;150;275
Diaa Eddin Abou Aicha;None;None;BVDK;21.08.2022;None;M;30;270;155;265
Emre Demirdelen;None;None;BVDK;12.10.2017;Deutschland;M;19~;225;172,5;265
Lara Hinz;None;HE;BVDK;20.05.2022;Deutschland;W;18;180;95;200
Ira Simon;None;None;BVDK;29.09.2021;None;W;28;135;82,5;162,5
Tobias Zinserling;big_zinse;TH;BVDK;30.11.2019;Deutschland;M;41;290;177,5;320,5
Uwe Frey;None;None;Germany-UA;15.12.2012;Deutschland;M;43;300;212,5;270
Katharina Dewald;None;BY;BVDK;23.10.2021;None;W;22~;142,5;92,5;152,5
Kilian Schenk Graf Von Stauffenberg;None;None;BVDK;21.08.2022;None;M;;262,5;185;285
Ondrej Uhlig;None;None;UPC-Germany;27.03.2015;Deutschland;M;24;250;180;280
Sven Brodrück;None;None;BVDK;21.08.2022;None;M;29;245;130;270
Rolf Hampel;None;None;EPF;06.03.2018;Deutschland;M;56;238;117,5;260
Ronny Schröder;None;None;BVDK;11.05.2019;Deutschland;M;39~;215;165;270
Christian Schlegel;None;None;GPU;02.05.2022;Deutschland;M;27;290;150;265
Tino Czeranowski;None;None;SwissPL;21.11.2009;Deutschland;M;38;280;180;280
Daniel Höcker;None;BY;BVDK;20.10.2018;Deutschland;M;23;227,5;137,5;255
Abdulhamit Türk;None;RP;BVDK;12.10.2019;Deutschland;M;23;210;120;250
Jan Hellwig;None;None;BVDK;10.04.2022;Deutschland;M;29~;190;122,5;215
Patric Kattenbacher;None;None;IrishPO;01.01.2016;Deutschland;M;37;220;175;250
Jan Schnoor;None;None;UPC-Germany;01.03.2017;Deutschland;M;24;275;180;280
Andreas Hass;None;None;BVDK;29.03.2019;Deutschland;M;31;242,5;170;240
Lukas Demuth;None;BY;BVDK;23.10.2021;None;M;;252,5;160;313,5
Daniel Sahebjami;None;None;BVDK;29.09.2021;None;M;30~;220;145;250
Brian Odurukwe;None;NRW;BVDK;24.06.2022;None;M;20;222,5;142,5;250
Uwe Schmutzler;None;SN;BVDK;29.04.2017;Deutschland;M;37;225;190;250
Martina Poller;None;None;WDFPF;25.10.2019;Deutschland;W;33;130;82,5;177,5
Matthias Zielke;None;NI;BVDK;16.11.2019;None;M;31;220;132,5;300
Patrick Lösel;None;ST;BVDK;17.10.2020;Deutschland;M;20;270;162,5;255
Felix Kappmeyer;None;NRW;BVDK;09.12.2017;Deutschland;M;;235;185;290
Magdalena Krok;little.lenka;None;BVDK;21.08.2022;Deutschland;W;28;127,5;80;157,5
Oliver Schneider;None;None;BVDK;29.09.2021;Deutschland;M;31~;170;140;222,5
Max Schicke;None;SN;BVDK;24.11.2018;None;M;24~;220;145;240
René Falk;None;None;WPF;19.05.2018;Deutschland;M;47;260;142,5;305
Jonas Wolf;None;None;BVDK;19.09.2021;None;M;22;250;170;297,5
Mathias Werner;None;None;BVDK;21.08.2022;Deutschland;M;;270;162,5;292,5
Oliver Dorsch;None;FL;WPC;10.11.2014;Deutschland;M;41;280;180;290
Andriy Leonov;None;BB;BVDK;16.09.2016;Deutschland;M;35~;250;182,5;277,5
Michelle Kurszewski;None;NRW;BVDK;24.06.2022;None;W;22;152,5;80;177,5
Marius Preisinger;snowp_97;None;BVDK;21.08.2022;None;M;24;230;175;245
Sascha Gummersbach;None;None;BVDK;21.08.2022;None;M;29;260;172,5;290
Sven Saiko;None;None;BVDK;29.03.2019;Deutschland;M;27~;235;175;277,5
Michel Kühn;None;None;GPU;02.05.2022;Deutschland;M;26;245;175;275
Viktoria Rudkovskaya;None;None;BVDK;12.10.2017;None;W;29~;137,5;60;140
Andreas Klatt;None;NRW;Germany-UA;04.10.2019;None;M;;242,5;185;265
Daniel Isernhagen;None;SH;UPC-Germany;20.10.2018;None;M;;275;175;287,5
Stefan Rzehak;stefan_rhk;None;BVDK;12.10.2017;Deutschland;M;26;265;162,5;260
Julius Blum;None;None;BVDK;19.09.2021;Deutschland;M;20;245;140;270
Tim Huber;None;None;BVDK;12.10.2017;None;M;25;232,5;135;285
Christopher Scheler;None;None;BVDK;29.03.2019;Deutschland;M;29~;220;145;280
Marco Sintoni;None;HE;Germany-UA;16.12.2017;Deutschland;M;19;250;190;265
Jonny Heimerl;None;BB;BVDK;15.09.2012;Deutschland;M;26;240;152,5;255
Jonathan Rüschhoff;None;NRW;BVDK;24.06.2022;None;M;22;215;160;240
Philip Moritz Bischof;None;BW;BVDK;18.12.2021;None;M;26~;222,5;140;255
Myriam Anton;my.way.to.fit;None;BVDK;21.08.2022;Deutschland;W;32;150;87,5;147,5
David Lukacs;None;HE;Germany-UA;17.12.2016;Deutschland;M;36;280;200;290
Daniel Acosta;None;NV;WPC;06.11.2012;Deutschland;M;19;250;182,5;280
Matthias Simpig;None;BB;BVDK;12.09.2015;Deutschland;M;42~;272,5;155;250
Karolina Moszynska;karolinamoszynskapowerlifter;None;BVDK;29.03.2019;Deutschland;W;32~;132,5;72,5;157,5
Alexander Engel;None;None;BVDK;12.10.2017;Deutschland;M;22~;190;120,5;220
Simon Patz;None;HE;Germany-UA;14.04.2019;None;M;34;235;180;240
David Littau;None;BB;BVDK;16.09.2016;Deutschland;M;32;225;145;272,5
Thomas Faber;None;BB;BVDK;19.09.2014;None;M;30~;210;175;265
Mussa Mohkami;None;NRW;Germany-UA;09.11.2018;None;M;;260;190;320
Luca Grolms;None;None;BVDK;30.04.2021;None;M;23~;225;147,5;275
Mina Ahl;None;None;BVDK;19.09.2021;None;W;22~;167,5;95;175
Klaus Leitmann;None;None;GPU;02.05.2022;Deutschland;M;32;227,5;130;220
Vanessa Neumann;None;None;BVDK;12.10.2017;None;W;24;152,5;82,5;140
Enno Heisler;None;NRW;BVDK;26.09.2020;None;M;22;230;142,5;265
Jakob Schuhmacher;None;None;BVDK;12.10.2017;Deutschland;M;25;210;122,5;235
Richard Schmidt;None;TH;BVDK;24.08.2019;None;M;21~;275;155;260
Urs Untiedt;None;BY;BVDK;23.10.2021;None;M;20~;250;155;272,5
Cornelius Lehnart;None;NI;BVDK;09.04.2016;Deutschland;M;21;200;135;240
Shokrzadeh Amir Reza;None;BB;BVDK;04.10.2013;None;M;33~;240;175;235
Anna Dierks;None;MV;UPC-Germany;05.10.2019;Deutschland;W;23;165;81;175
Daniel Petruch;None;NRW;Germany-UA;04.10.2019;None;M;;300;170;260
Gregor Utz;None;None;WUAP-AUT;23.04.2022;Deutschland;M;32~;247,5;160;320
Andreas Pohl;None;None;BVDK;21.08.2022;Deutschland;M;38;257,5;202,5;300
Daniel Ebert;None;BY;GDFPF;13.10.2018;Deutschland;M;30;225;150;265
Lukas Müller;None;BY;GDFPF;13.10.2018;None;M;23;210;162,5;317,5
Steffen Kolb;None;None;UPC-Germany;01.03.2017;Deutschland;M;30~;270;145;260
Philipp Bleilinger;None;FL;WPC;05.11.2018;Deutschland;M;23;300;160;290
Sonja Tschirch;None;None;WDFPF;25.10.2019;Deutschland;W;30;122,5;75;170
Simon Wiese;None;HE;Germany-UA;17.12.2016;Deutschland;M;24;235;162,5;260
Jorge Díaz Escárate;None;None;BVDK;21.08.2022;None;M;32~;215;132,5;262,5
Susann-Marie Gola;powasuse;NRW;BVDK;24.06.2022;Deutschland;W;20;132,5;77,5;175
Piet Feld;None;None;BVDK;30.10.2021;None;M;29;190;120;253
Oliver Türk;None;None;Germany-UA;17.12.2011;Deutschland;M;42;235;170;265
Felix Brüning;None;None;BVDK;21.08.2022;None;M;;230;150;270
Julian Kraft;None;None;WUAP;17.06.2019;Deutschland;M;21;245;140;250
Arthur Mertz;None;NRW;BVDK;12.05.2012;None;M;25;215;142,5;245
Julie Klenkler;bundesbizepsministerin;NRW;Germany-UA;04.10.2019;Deutschland;W;27~;130;67,5;162,5
Konstantin Neumann;None;None;WDFPF;29.04.2017;Deutschland;M;20;245;165;250
Florian Stubenvoll;None;BY;BVDK;23.10.2021;None;M;;220;145;245
Miguel Martins Dias;None;None;BVDK;29.09.2021;Deutschland;M;29~;195;105;225
Julia Renkel;None;None;BVDK;21.08.2022;None;W;25~;152,5;80;172,5
Luca Fischer;None;None;BVDK;10.04.2022;Deutschland;M;24~;240;160;280
Joseph Giscard Fokoua Tensso;None;None;BVDK;21.08.2022;None;M;38;230;135;245
Moses August;None;None;BVDK;21.08.2022;Deutschland;M;30;235;160;255
Michael Schlund;None;BY;BVDK;06.10.2018;None;M;28~;222,5;150;240
Dominic Walter;None;SN;UPC-Germany;08.03.2018;Deutschland;M;27;230;140;262,5
Michael Hildebrandt;theproud_kraut;TH;BVDK;02.02.2019;Deutschland;M;;225;200;232,5
Nicole Börsch;None;HE;BVDK;02.11.2019;Deutschland;W;43;140;110;155
Mario Rudolph;None;None;WUAP;13.06.2018;Deutschland;M;31~;255;167,5;247,5
David Plaschke;None;None;GPU;02.05.2022;Deutschland;M;34;225;170;275
Philipp Karbstein;None;None;BVDK;12.10.2017;Deutschland;M;20~;222,5;142,5;285
Detlef Riedel;None;None;WPF;06.11.2015;Deutschland;M;56;240;137,5;222,5
Michael McDoe;None;BY;BVDK;14.05.2022;None;M;19~;230;160;277,5
Faja Fee Ritter;None;HE;BVDK;20.05.2022;None;W;22~;145;75;183
Eyyüp Türk;None;NRW;Germany-UA;09.11.2018;Deutschland;M;20;215;127,5;232,5
Gregor Lossen;None;VLA;IPF;11.06.2013;Deutschland;M;26~;232,5;162,5;290
Arthur Averdunk;None;HE;BVDK;15.08.2020;Deutschland;M;25;222,5;125;262,5
Dennis Feininger;None;None;WDFPF;04.11.2016;Deutschland;M;28;205;152,5;252,5
Phillipp Illgen;None;None;GPU;09.02.2019;None;M;23;220;155;255
Sascha Westermann;None;NRW;BVDK;26.09.2020;None;M;21;235;190;270
Peer Hänsicke;None;BB;BVDK;04.10.2013;Deutschland;M;51~;250;185;240
Michael Lauenstein;None;None;WUAP;17.10.2017;Deutschland;M;41;225;195;281
Timo Gröning;None;NRW;BVDK;24.06.2022;None;M;31;225;150;267,5
Christian Rodehutskors;None;None;BVDK;29.09.2021;Deutschland;M;23~;282,5;147,5;287,5
Kevin Vierig;None;BB;BVDK;12.09.2015;Deutschland;M;23;245;145;260
Maximilian Serfas;None;NRW;WPC-Germany;04.09.2020;Deutschland;M;28~;310;187,5;280
Jason Amadasun;None;HE;BVDK;20.05.2022;None;M;23~;252,5;152,5;272,5
Simon Janßen;None;BY;GDFPF;13.10.2018;None;M;27;225;135;265
Simon Daniel Oswald;osslack;None;BVDK;21.08.2022;Deutschland;M;;230;152,5;295
Titus Korte;None;None;BVDK;19.09.2021;None;M;18~;232,5;140;307,5
Ludwig Grashaus;None;None;WUAP-Germany;06.05.2022;Deutschland;M;23~;225;142,5;272,5
Per Starke;None;None;BVDK;19.09.2021;None;M;21~;245;137,5;262,5
Marwin Demisch;marwin_od;NRW;BVDK;24.06.2022;None;M;19;232,5;150;270
Chiara Enderle;None;SN;BVDK;10.10.2020;None;W;22~;142,5;90;167,5
Randy Bolz;None;HH;Germany-UA;09.10.2016;Deutschland;M;;250;152,5;230
Mareike Haas;None;HE;BVDK;20.05.2022;Deutschland;W;26~;150;105;185
Louis Zind;None;None;BVDK;21.08.2022;None;M;24~;227,5;130;242,5
Martin Lux;None;BB;BVDK;19.09.2014;Deutschland;M;25;205;152,5;250
Olga Fink;None;HE;BVDK;20.05.2022;Deutschland;W;32;140;72,5;187,5
Janina Ziegler;None;None;BVDK;21.08.2022;None;W;33~;130;75;170
Mathias Große;None;None;UPC-Germany;31.03.2016;Deutschland;M;37~;255;170;270
Torsten Karbstein;None;BY;BVDK;23.10.2021;None;M;34;215;152,5;240
Alexander Blüml;None;BY;BVDK;14.05.2022;None;M;22~;200;140;220
Ronny Berndt;rawnny_;BW;BVDK;09.09.2018;Deutschland;M;38~;250;162,5;237,5
Arnold Greitan;None;BY;BVDK;26.10.2019;None;M;28~;260;157,5;252,5
Tobias Hertwig;None;NRW;BVDK;09.10.2021;None;M;26;250;147,5;252,5
Andreas Wingendorff;None;None;WUAP;05.10.2016;Deutschland;M;;260;155;280
Aljoscha Lehmbrock;None;None;WUAP;05.10.2016;Deutschland;M;;260;175;282,5
Patrick Deininger;None;NRW;Germany-UA;04.10.2019;None;M;;265;185;280
Pascal Borchardt;None;None;BVDK;21.08.2022;None;M;30~;225;150;265
Ralf Döhne;None;None;WUAP;05.10.2016;Deutschland;M;56~;265;170,5;260
Erhan Kitapci;None;None;GDFPF;26.03.2016;None;M;23;220;130;250
Kevin Jäger #1;kev333jaeger;TX;IPF;19.06.2016;Deutschland;M;20~;275;187,5;262,5
Sirko Petermann;corefire;None;WUAP;09.10.2014;Deutschland;M;;250;192,5;272,5
Peter Schorr;None;None;Germany-UA;21.12.2013;None;M;35;200;130;250
Patrick Popp;None;None;BVDK;21.08.2022;Deutschland;M;;220;155;255
Simon Reichmeier;None;BY;BVDK;12.05.2018;Deutschland;M;29;250;210;250
Noel Stubbe;None;None;GPU;02.05.2022;Deutschland;M;18;210;130;260
Daniel Delic;None;None;GPU;02.05.2022;Deutschland;M;30;255;162,5;302,5
Leonie Kolle;None;HE;BVDK;20.05.2022;Deutschland;W;24~;140;75;185,5
Manuel Simon;None;HE;BVDK;20.05.2022;None;M;28~;192,5;162,5;245
Matthias Meier;None;SN;BVDK;10.10.2020;None;M;22~;215;145,5;240
Janek Reimann;None;NRW;BVDK;10.10.2021;None;M;22~;215;142,5;242,5
Carolin Kröner;None;BW;BVDK;18.12.2021;None;W;21~;147,5;75;175
Vadim Seltenreich;None;NRW;Germany-UA;04.10.2019;Deutschland;M;26;220;125;270
Manuel Kreie;None;NRW;Germany-UA;04.10.2019;None;M;;185;150;235
Eyyüp Ozgün;None;BB;BVDK;15.09.2012;None;M;26~;230;155;257,5
Henry Hallmann;None;BY;BVDK;26.10.2019;Deutschland;M;31;205;157,5;237,5
Cornelia Campbell;squatting_nela;NRW;Germany-UA;04.10.2019;None;W;35;140;75;170
Patrick Bedei;None;None;WUAP-Germany;06.05.2022;Deutschland;M;30~;235;147,5;252,5
Florian Habdank;None;BY;BVDK;23.10.2021;None;M;22~;230;187,5;240
Michael van Nes;None;HE;Germany-UA;14.04.2019;Deutschland;M;26;240;150;300
Torben Kapries;None;NRW;BVDK;01.12.2019;Deutschland;M;18~;237,5;150;285
Aljoscha Subasinghe;None;MV;BVDK;21.09.2018;Deutschland;M;27~;185;125;205
Theo Barthel;None;NRW;BVDK;01.12.2019;None;M;21~;212,5;125;230
Marco Hirt;None;TH;BVDK;24.08.2019;None;M;34~;247,5;165;290
Ronny Schroeder;None;None;EPF;05.03.2019;Deutschland;M;39~;215;162,5;270
Steve Richter;None;SN;BVDK;10.10.2020;Deutschland;M;33~;235;180;260
Maximilian Regenberg;None;SN;UPC-Germany;08.03.2018;None;M;24~;275;160;280
Andreas Bäßler;None;None;BVDK;29.09.2021;Deutschland;M;33~;247,5;140;245
Monja Schubert;None;None;BVDK;30.10.2021;Deutschland;W;26;120,5;65;160
Lucas Lang;None;HE;BVDK;20.05.2022;Deutschland;M;26;200;147,5;265
Tobias Bergmair;None;None;GPU;25.04.2017;None;M;30;265;200;250
Marco Reis;None;NRW;Germany-UA;09.11.2018;Deutschland;M;28;207,5;153;207,5
Bob Hofmann;None;None;BVDK;21.08.2022;None;M;;235;155;245
Paolo Fabian Keßler;None;None;BVDK;29.09.2021;None;M;27~;210;150;240
Isabel Klemmer;None;None;BVDK;21.08.2022;None;W;29~;170;95;172,5
Viktoria Reeb;None;None;WUAP;05.10.2016;Deutschland;W;33~;150;80;170
Alexander Barth;None;None;BVDK;08.02.2020;None;M;21;250;170;292,5
Christioph Splisteser;None;SH;UPC-Germany;20.10.2018;None;M;;262,5;142,5;275
Kurt Oguzhan;None;None;GDFPF;26.03.2016;Deutschland;M;22;227,5;157,5;230
Julia Leimeister;None;BB;BVDK;15.06.2019;Deutschland;W;29~;125;75;130
Nicolas Wilke;None;None;BVDK;12.10.2017;Deutschland;M;23;220;120;260
Lea Bachus;None;NRW;BVDK;01.12.2019;None;W;21;117,5;77,5;155
Joel Ray;None;BW;BVDK;18.12.2021;None;M;19~;220;120;290
Matthias Siegle;None;None;IPF;06.06.2018;Deutschland;M;54;202,5;130;227,5
Holger Lindinger;None;None;Germany-UA;09.12.2006;Deutschland;M;31~;250;180;230
Alexander Grund;None;None;BVDK;29.03.2019;None;M;28;205;145;250
Faisal Yassin;None;None;BVDK;12.10.2017;Deutschland;M;30;220;147,5;267,5
Nicolas Rojas;None;None;WDFPF;02.11.2018;Deutschland;M;35;182,5;150;230
Marco Wypior;None;None;BVDK;19.09.2021;None;M;22~;242,5;162,5;265
Krzysztof Rodzik;None;None;Germany-UA;21.12.2013;None;M;37;200;155;260
Maurice Pierry;None;NRW;Germany-UA;04.10.2019;None;M;24;240;150;280
Armin Spiegel;None;BY;BVDK;20.10.2018;Deutschland;M;22~;225;135;240
Philipp Baier;None;TH;BVDK;24.02.2018;Deutschland;M;28;230;195;265
Simon Schiekofer;None;BY;BVDK;23.10.2021;None;M;19~;228;137,5;230
Sven Schäfer;None;ST;BVDK;10.10.2015;Deutschland;M;44~;240;175;255
Moritz Plewa;None;None;BVDK;19.09.2021;None;M;22~;205;127,5;227,5
Lars Richmann;None;None;BVDK;29.09.2021;None;M;30;240;170;290
Malte Fleissner;None;BB;BVDK;12.09.2015;Deutschland;M;25~;220;185;285
Jonas Diefenbach;jonaslifts;None;Ireland-UA;16.04.2022;Deutschland;M;23;235;137,5;237,5
Niklas Thelen;None;NRW;BVDK;01.06.2019;None;M;25~;190;140;265
Silvio Frenzel;None;BY;BVDK;26.10.2019;None;M;32~;215;170;250
Martin Hartmann;None;NRW;Germany-UA;04.10.2019;None;M;;285;185;270
Michael Becherer;None;None;UPC-Germany;27.03.2015;Deutschland;M;37;265;177,5;255
Viktor Jakob;None;BB;BVDK;19.09.2014;None;M;35~;205;135;217,5
Stephan Arndt;None;MV;BVDK;21.09.2018;Deutschland;M;44;270;185;240
Nico Henschel;None;None;BVDK;21.08.2022;None;M;;245;167,5;252,5
Nadine Hümmer;None;None;BVDK;29.03.2019;None;W;30;140;72,5;160
Simon Bergmann;None;NRW;BVDK;26.09.2020;None;M;21~;257,5;160;282,5
Andrija Veselovic;None;NRW;BVDK;24.06.2022;None;M;34;210;155;260
Andreas Koch;None;None;Germany-UA;15.12.2012;Deutschland;M;48;275;190;275
Agnes Lepp;None;None;BVDK;29.03.2019;Deutschland;W;33~;155;92,5;180
Daniel Thiel;None;None;PAGermany;28.04.2017;Deutschland;M;26;190;120;250
Volker Dell;None;None;Germany-UA;09.12.2006;Deutschland;M;49;260;150;250
Lukas Kühl;None;NI;BVDK;16.11.2019;None;M;22;210;132,5;245
Fabian Baum;None;HE;Germany-UA;16.12.2017;Deutschland;M;21;215;192,5;260
Nicolas Rojas Garcia;None;None;GDFPF;21.10.2017;None;M;34;180;145;231
Sebastian Schaffarczyk;None;NRW;BVDK;01.06.2019;Deutschland;M;34;240;172,5;255
Bjarne Dücker;None;NI;BVDK;24.07.2021;None;M;19~;235;152,5;247,5
Heger Sebastian;None;BY;BVDK;23.10.2021;None;M;;235;137,5;255
Christian Karnapp;None;None;BVDK;29.09.2021;None;M;23~;232,5;160;275
Ramon Schöndorf;None;BY;BVDK;20.10.2018;Deutschland;M;21~;215;140;240
Philipp Quenzel;None;NRW;BVDK;09.12.2018;Deutschland;M;24;212,5;150;260
Gustav Ahlers;None;None;BVDK;29.09.2021;None;M;26~;205;135;252,5
Daniel Leverentz;None;NRW;Germany-UA;04.10.2019;Deutschland;M;27~;212,5;132,5;215
Aline Hiebsch;None;None;BVDK;29.09.2021;None;W;23~;137,5;77,5;157,5
Lewin Eick;None;None;WUAP-AUT;21.04.2018;Deutschland;M;;225;136;246
Pascal Schrader;psi_schrader;SN;BVDK;10.10.2020;None;M;21~;230;175;262,5
Daniel Werbitzky;None;None;BVDK;25.07.2021;None;M;32;225;150;220
Rustam Pitov;None;NRW;BVDK;25.04.2015;Deutschland;M;28;222,5;180;255
Florin Ratajczak;None;NRW;Germany-UA;09.11.2018;Deutschland;M;27;200;127,5;235
Raphael Antonius Rother;None;NRW;BVDK;01.12.2019;None;M;;240;170;287,5
Martin Moš;None;None;BVDK;29.03.2019;Deutschland;M;30;265;175;280
Robert Zickerow;None;None;UPC-Germany;01.03.2017;None;M;;250;142,5;270
Claudius Birk;None;BW;BVDK;22.09.2019;None;M;20~;217,5;132,5;280,5
Kevin Baar;None;None;BVDK;19.09.2021;None;M;20~;180;107,5;225
Paolo Keßler;None;None;BVDK;21.08.2022;None;M;;225;155;252,5
Rolf Dilbat;None;NRW;BVDK;27.08.2016;Deutschland;M;52~;230;180;255
Joshua Neurohr;None;RP;BVDK;28.07.2018;Deutschland;M;28;220;180;250
Paul Dambmann;None;None;BVDK;21.08.2022;None;M;;222,5;167,5;285
Omar Asad;None;HE;BVDK;17.08.2019;None;M;19;207,5;135;250,5
Gökcan Aydin;None;None;GDFPF;26.03.2016;None;M;21;207,5;145;260
Oliver Bahr;None;None;BVDK;12.10.2017;Deutschland;M;30~;230;150;250
Oliver Bulla;None;BB;BVDK;12.09.2015;Deutschland;M;24;202,5;170;260
Ron Kronschwitz;None;None;BVDK;12.10.2017;Deutschland;M;35~;215;155;220
Daniel Kunellis;None;None;BVDK;21.08.2022;None;M;29;217,5;177,5;270
Sascha Kesseler;None;NRW;BVDK;09.12.2018;None;M;23;220;155;285
Nico Ötter;None;HH;Germany-UA;09.10.2016;None;M;;205;165;245
Max Enin;None;None;WUAP;17.06.2019;Deutschland;M;17;265;165;260
Daniel Knaut;None;HE;BVDK;17.08.2019;Deutschland;M;21;210;180;240
Corinna Lindsay;None;None;BVDK;21.08.2022;None;W;28;135;95;162,5
Fabian Bours;None;NRW;BVDK;16.04.2016;Deutschland;M;22;210;180;280
Jeremy Sommerwerk;None;NRW;Germany-UA;04.10.2019;None;M;17~;275;170;255
Thomas Schmidt;None;None;EPF;07.03.2022;Deutschland;M;51;260;172,5;285
Fabian Vorberg;None;NRW;Germany-UA;04.10.2019;Deutschland;M;30~;205;135;275
Markus Scherer;None;NRW;BVDK;25.04.2015;None;M;25;180;120;210
Dominik Wezel;None;HH;Germany-UA;09.10.2016;None;M;;220;155;240
Marc Hoffmann;None;None;Germany-UA;17.12.2011;None;M;32;250;150;270
Simon Grassmann;None;HE;Germany-UA;14.12.2019;None;M;25;207,5;145;265
Sven Lopata;None;HE;BVDK;15.08.2020;Deutschland;M;29;207,5;140;240
Hugo Spot-A-Lot;None;HH;Germany-UA;01.09.2017;None;M;;190;125;200
Patrick Müller;None;HE;BVDK;20.05.2022;Deutschland;M;28;217,5;125;282,5
Ivo Jakov Akrap;None;BB;BVDK;15.06.2019;None;M;26~;265;170;300
Jannis Küpper;None;NRW;BVDK;05.05.2018;Deutschland;M;24;235;130;265
Christopher Dinkelmeyer;chris_dinkelmeyer;BY;BVDK;14.05.2022;None;M;30;230;135;300
Maximilian Müller;None;BY;BVDK;20.10.2018;Deutschland;M;22~;247,5;145;262,5
Martin Slach;None;NRW;BVDK;15.07.2022;Deutschland;M;45;237,5;155;270
Sascha Kuhrt;None;MV;BVDK;21.09.2018;None;M;27~;230;165;270
Stephan Ruthardt;None;None;WPF;19.05.2018;Deutschland;M;27;225;155;285
Jan-Philipp Rexing;None;None;BVDK;21.08.2022;None;M;24~;245;152,5;227,5
Hans Müller;None;None;Germany-UA;15.12.2012;Deutschland;M;33;260;150;270
Guido Meier;None;None;LGBT;27.07.2018;Deutschland;M;52;235;130;262,5
Julian Valentin Korbel;None;BY;GDFPF;13.10.2018;None;M;33;205;147,5;235
Rebecca Winkler;None;None;BVDK;21.08.2022;None;W;28~;127,5;77,5;165
Patricia Liebs;None;SN;BVDK;10.10.2020;None;W;30~;140;100;152,5
Tino Spann;None;None;WUAP;13.06.2018;Deutschland;M;32~;220;182,5;215
André Hentschel;None;NI;BVDK;01.06.2019;Deutschland;M;34;240;200;225
Johannes Barcsay;None;BY;BVDK;26.10.2019;None;M;21~;190;127,5;232,5
Lars Marten Seidel;None;SH;UPC-Germany;20.10.2018;None;M;;267,5;135;255
Yaşar Küçük;None;NRW;BVDK;06.05.2017;Deutschland;M;43;280;190;280
Julia Roll;None;None;BVDK;29.09.2021;Deutschland;W;26;162,5;97,5;170
Thomas Pawlischin;None;BY;BVDK;14.05.2022;None;M;25~;230;157,5;240
Maximilian Kopp;None;BW;BVDK;09.09.2018;None;M;25~;207,5;142,5;235
Dominic Rittig;None;None;BVDK;21.08.2022;None;M;33;250;182,5;300
Pascal Petri;None;None;BVDK;21.08.2022;None;M;24~;210;185;260
Dimitrios Panagiotidis;None;BY;BVDK;23.10.2021;None;M;;235;152,5;272,5
Mathis Neuhaus;None;NRW;BVDK;01.12.2019;None;M;;220;145;250
Luca Marin;None;NRW;BVDK;09.10.2021;None;M;27~;222,5;160;272,5
Patrick Ledermann;None;BY;BVDK;20.10.2018;Deutschland;M;19~;230;145;240
Vanessa Koslowski;None;None;WDFPF;25.10.2019;Deutschland;W;28;140;90;182,5
Thorsten van den Berg;None;NRW;BVDK;29.08.2015;None;M;30;260;160;285
Karin Kirsch;karins_kdk;None;BVDK;21.08.2022;Deutschland;W;37~;140;95;150
Nils Meyer;None;NRW;BVDK;24.06.2022;None;M;23;232,5;125;242,5
Simon Düker;None;NRW;BVDK;24.06.2022;None;M;23;250;130;277,5
Ronny Stein;None;None;WUAP;15.10.2018;Deutschland;M;46;207,5;142,5;240
